,name,avg(CompleteData.rndScr),count(CompleteData.rndScr),Cost,,,50000
97,GEORGE COETZE,73,16,#N/A,,,
98,WEBB SIMPSON,73,20,7000,,,
99,BRANDE GRACE,73,20,#N/A,,,
100,TADAHI TAKAYA,73.25,4,#N/A,,,
101,SEUNG- NOH,73.25,4,#N/A,,,
102,MIKE HENDRY,73.25,4,#N/A,,,
103,PAUL LAWRIE,73.25,8,#N/A,,,
104,ALVARO QUIROS,73.25,8,#N/A,,,
105,JIMMY WALKER,73.25,12,9200,,,
106,PETER UIHLEI,73.25,12,#N/A,,,
107,ERNIE ELS,73.3,20,#N/A,,,
108,ANTHON KIM,73.5,4,#N/A,,,
109,GRAHAM DELAET,73.5,12,#N/A,,,
110,HIDEKI MATSUYAMA,73.5,12,8600,,,
111,JORDAN SPIETH,73.5,12,10900,,,
112,HYUNG- KIM,73.5,12,#N/A,,,
113,MARTIN KAYMER,73.54166667,24,8200,,,
114,BRANDT SNEDEKER,73.5625,16,8700,,,
115,IAN POULTER,73.66666667,24,7800,,,
116,RUSSEL HENLEY,73.6875,16,#N/A,,,
117,HIROYUKI FUJITA,73.75,4,5500,,,
118,TIM CLARK,73.75,4,#N/A,,,
119,ROSS FISHER,73.75,4,5900,,,
120,JOHN MERRICK,73.75,4,#N/A,,,
121,PABLO LARRAZABAL,73.75,4,#N/A,,,
122,RHYS DAVIES,73.75,4,#N/A,,,
123,DARREN FICHAR,73.75,12,#N/A,,,
124,CHRIS KIRK,73.75,12,6400,,,
125,PETER SENIOR,74,4,#N/A,,,
126,GONZAL FDEZ-C,74.05,20,#N/A,,,
127,RAFAEL CABRERA,74.125,8,#N/A,,,
128,TETSUJ HIRATS,74.5,4,#N/A,,,
129,JEFF OVERTON,74.5,4,#N/A,,,
130,KEVIN STADLER,74.5,12,#N/A,,,
131,SANG-MOON BAE,74.75,4,6900,,,
132,BILLY HORSCHEL,74.75,12,6600,,,
133,JIM FURYK,74.8,20,8200,,,
134,MATTEO MANASSARI,74.875,16,#N/A,,,
135,ROBERT GARRIGUS,75,4,#N/A,,,
136,SIMON DYSON,75,4,#N/A,,,
137,BRENDON DE JONG,75.25,12,#N/A,,,
138,BOO WEEKLEY,75.25,12,#N/A,,,
139,D.A. POINTS,75.5,16,#N/A,,,
140,ROBERT CASTRO,75.75,12,#N/A,,,
141,JIN JEONG,76.25,12,#N/A,,,
142,VICTOR DUBUISSON,76.5,12,6300,,,
143,DAWIE VAN DE,77.5,12,#N/A,,,
144,BRETT RUMFOR,78.25,12,#N/A,,,
145,KIRADE APHIBA,78.5,12,#N/A,,,
,,,,,,,
,,,,49,,,
